area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00174759,19,6,3,2,34,76,89,46,20,11,6,5,7,2,4,1,1,0
E00174761,13,9,9,7,44,55,52,20,26,8,13,7,4,0,1,3,0,0
E00174763,14,1,1,1,16,51,58,31,17,6,2,12,3,2,2,0,0,2
E00174764,16,16,15,14,20,58,62,33,20,15,13,13,8,8,2,11,4,4
E00174766,11,10,10,5,24,33,28,21,13,7,11,12,3,13,5,3,2,2
E00174767,7,7,4,12,21,34,41,20,21,22,18,10,5,2,5,0,2,0
E00174769,24,22,32,38,101,108,57,44,37,35,23,13,10,2,2,1,2,0
E00174770,1,1,0,3,9,24,34,16,9,8,8,6,12,9,8,6,1,0
E00174772,11,9,7,9,63,96,58,37,24,40,28,17,9,5,4,1,1,1
E00174773,3,3,1,0,30,38,46,20,14,7,10,10,6,4,1,3,0,2
E00174775,17,16,11,6,20,32,44,35,18,15,17,13,8,8,3,2,2,0
E00174781,12,8,7,10,30,18,28,25,19,17,27,19,15,8,2,4,2,0
E00174783,12,5,2,9,29,38,48,19,14,17,14,11,6,2,1,1,0,0
E00174784,9,6,2,6,29,49,47,20,14,15,5,6,5,4,0,0,4,2
E00174786,16,3,2,28,143,69,41,22,15,11,12,8,7,3,3,2,0,2
E00174787,22,15,6,9,36,68,40,20,21,18,19,15,9,3,4,12,7,4
E00174789,11,11,4,3,6,46,77,43,22,24,25,14,4,5,6,2,5,2
E00174791,3,5,4,13,69,62,40,19,25,17,10,8,2,4,1,1,0,1
E00174792,8,6,3,9,26,39,42,18,12,10,13,14,9,5,6,4,1,0
E00174794,26,22,27,26,17,32,51,41,34,41,17,17,6,1,0,1,0,0
E00174795,15,13,5,4,28,36,40,29,16,6,11,17,10,2,3,1,9,3
E00174797,22,20,16,12,32,57,56,39,25,16,8,17,14,12,7,3,7,3
E00174801,10,7,8,5,17,38,39,28,24,9,7,15,1,0,0,1,0,0
E00174805,8,9,14,22,40,63,34,31,25,13,18,13,19,4,2,0,5,1
E00174806,22,5,7,7,17,14,13,9,11,9,8,10,4,2,4,0,0,0
E00174808,8,12,12,8,10,38,27,22,13,3,5,8,10,2,3,0,1,1
E00174811,6,6,6,120,47,54,28,27,11,4,9,8,12,5,10,1,1,2
